Cod. PLU;Cod. PLU Retailer;ProductId;Brand;Model;Tipo de producto;Tipo de combustible;Capacidad por minuto;Capacidad por volumen;Calefones Tiro Natural;Capacidad;Desc. Producto;Producto
7736504600;6589715;236192895;Junkers;10 litros HydroWind Easy - GL;Calefont;Gas Licuado;10;-1;False;10;TIRO FORZADO 10L GLP - HYDROWIND EASY;Junkers-TIRO FORZADO 10L GLP - HYDROWIND EASY
7736504597;3848434;232845805;Junkers;7 litros HydroWind Easy - GN;Calefont;Gas Natural;7;-1;False;7;TIRO FORZADO 7L GN - HYDROWIND EASY;Junkers-TIRO FORZADO 7L GN - HYDROWIND EASY
7733500031;1212132;181992493;Junkers;5 litros HydroSense - GL;Calefont;Gas Licuado;5;-1;True;5;IONIZADO 5L GLP - HYDROSENSE;Junkers-IONIZADO 5L GLP - HYDROSENSE
7733500034;3566080;181992492;Junkers;7 litros HydroSense - GN;Calefont;Gas Natural;7;-1;True;7;IONIZADO 7L GN - HYDROSENSE;Junkers-IONIZADO 7L GN - HYDROSENSE
7736505613;5604303;181992486;Junkers;18 litros HydroWind Plus - GN;Calefont;Gas Natural;18;-1;False;18;TIRO FORZADO 18L GN - HYDROWIND PLUS;Junkers-TIRO FORZADO 18L GN - HYDROWIND PLUS
7701331004;1046534;181992434;Junkers;11 litros HydroPower Plus - GN;Calefont;Gas Natural;11;-1;False;11;IONIZADO 11L GN - HYDROPOWER PLUS;Junkers-IONIZADO 11L GN - HYDROPOWER PLUS
7701331685;767593;181992456;Junkers;11 litros Ionizado - GN;Calefont;Gas Natural;11;-1;True;11;IONIZADO 11L GN - MINIMAXX;Junkers-IONIZADO 11L GN - MINIMAXX
7736502090;1111039;181992447;Junkers;13 litros Ionizado - GL;Calefont;Gas Licuado;13;-1;True;13;IONIZADO 13L GLP - HYDROBATTERY SMART;Junkers-IONIZADO 13L GLP - HYDROBATTERY SMART
7736505614;5593301;181992577;Junkers;21 litros HydroWind Plus GL;Calefont;Gas Licuado;21;-1;False;21;TIRO FORZADO 21L GLP - HYDROWIND PLUS;Junkers-TIRO FORZADO 21L GLP - HYDROWIND PLUS
7736505606;1284417;181992596;Junkers;10 litros HydroWind Plus - GL;Calefont;Gas Licuado;10;-1;False;10;TIRO FORZADO 10L GLP - HYDROWIND PLUS;Junkers-TIRO FORZADO 10L GLP - HYDROWIND PLUS
7736505609;5593409;181992588;Junkers;12 litros HydroWind Plus - GN;Calefont;Gas Natural;12;-1;False;12;TIRO FORZADO 12L GN - HYDROWIND PLUS;Junkers-TIRO FORZADO 12L GN - HYDROWIND PLUS
7736502706;278534X;181992587;Junkers;18 litros HydroCompact - GL;Calefont;Gas Licuado;18;-1;False;18;TIRO FORZADO 18L GLP - HYDROCOMPACT;Junkers-TIRO FORZADO 18L GLP - HYDROCOMPACT
7736502702;1111032;181992358;Junkers;12 litros HydroCompact - GL;Calefont;Gas Licuado;12;-1;False;12;TIRO FORZADO 12L GLP - HYDROCOMPACT;Junkers-TIRO FORZADO 12L GLP - HYDROCOMPACT
7702331763;11894;181992332;Junkers;14 litros Piezo - GN;Calefont;Gas Natural;14;-1;True;14;PIEZO ELÉCTRICO 14L GN;Junkers-PIEZO ELÉCTRICO 14L GN
7702331688;1046532;181992298;Junkers;14 litros HydroPower Plus - GN;Calefont;Gas Natural;14;-1;False;14;IONIZADO 14L GN - HYDROPOWER PLUS;Junkers-IONIZADO 14L GN - HYDROPOWER PLUS
7733500035;1212133;181992396;Junkers;7 litros HydroSense - GL;Calefont;Gas Licuado;7;-1;True;7;IONIZADO 7L GLP - HYDROSENSE;Junkers-IONIZADO 7L GLP - HYDROSENSE
7703331711;1046530;181992393;Junkers;16 litros Hydropower Plus - GN;Calefont;Gas Natural;16;-1;False;16;IONIZADO 16L GN - HYDROPOWER PLUS;Junkers-IONIZADO 16L GN - HYDROPOWER PLUS
7702431632;1867784;181992413;Junkers;13 litros HydroWind - GL;Calefont;Gas Licuado;13;-1;False;13;TIRO FORZADO 13L GLP - HYDROWIND;Junkers-TIRO FORZADO 13L GLP - HYDROWIND
7736504843;1205258;181992388;Junkers;24 litros Celsis Next GL;Calefont;Gas Licuado;24;-1;False;24;IONIZADO 24 GLP - CELSIUS NEXT;Junkers-IONIZADO 24 GLP - CELSIUS NEXT
7736504842;1205259;181992366;Junkers;24 litros Celsis Next GN;Calefont;Gas Natural;24;-1;False;24;IONIZADO 24 GN - CELSIUS NEXT;Junkers-IONIZADO 24 GN - CELSIUS NEXT
7736502703;1111033;181992382;Junkers;15 litros HydroCompact - GN;Calefont;Gas Natural;15;-1;False;15;TIRO FORZADO 15L GN - HYDROCOMPACT;Junkers-TIRO FORZADO 15L GN - HYDROCOMPACT
7736502087;1111038;181992603;Junkers;10 litros ionizado - GN;Calefont;Gas Natural;10;-1;True;10;IONIZADO 10L GN - HYDROBATTERY SMART;Junkers-IONIZADO 10L GN - HYDROBATTERY SMART
7702431680;116769;182660177;Junkers;14 litros Piezo - GL;Calefont;Gas Licuado;14;-1;True;14;PIEZO ELÉCTRICO 14L GLP;Junkers-PIEZO ELÉCTRICO 14L GLP
